ID,English Title,Yoruba Title,Number,Verse Number,English Lyrics,Yoruba Lyrics,Type,IsFavorite
1,TO GOD BE THE GLORY,OGO NI F'OLUWA TO SE OHUN NLA,1,1,To God be the glory; great things He hath done So loved He the world that He gave us His son Who yielded His life an atonement for sin? And open the life gate that all may go in.,Ogo ni f'oluwa to se ohun nla Ife lo mu l'o fun wa ni Omo Re Eni to f'emi Re lele fe 'se wa To si silekun iye sile fun wa,Verse,FALSE
1,TO GOD BE THE GLORY,OGO NI F'OLUWA TO SE OHUN NLA,1,0,Praise the Lord /2X Let the earth hear His voice Praise the Lord /2x Let the people rejoice O come to the Father through Jesus the son And give Him the glory; great things He hath done,"Yin Oluwa /2x Fi 'yin fun Oluwa Yin Oluwa/2x E yo niwaju Re Ka to Baba wa lo l'oruko Jesu Je k'a jo f'ogo fun, Ohun nla to se.",Chorus,FALSE
1,TO GOD BE THE GLORY,OGO NI F'OLUWA TO SE OHUN NLA,1,2,O perfect redemption purchase of His blood To every believer the promise Of God The vilest offender who truly believe That moment from Jesus a pardon receive,. Irapada kikun ti Eje Re ra Fenikeni t'o gba ileri Re gbo Eni t'o buruju b'o ba le gbagbo L'oju kan na yo ri idariji gba,Verse,FALSE
1,TO GOD BE THE GLORY,OGO NI F'OLUWA TO SE OHUN NLA,1,3,"Great things He hath taught us; Great things He hath done And great our rejoicing through Jesus the son But purer, and higher, and greater will be Our wonder, our transport when Jesus we see.","Ohun nla to kowa, ohun nla to se Ayo wa di kikun ninu Omo Re Ogo ati ewa irapada nla Y'o yaw a lenu 'gbat'a bari Jesu",Verse,FALSE
2,PRAISE TO THE LORD THE ALMIGHTY,EYIN OLUWA OLUGBALA,2,1,"Praise to the Lord, the Almighty The King of creation O my soul praise Him for He is thy health and salvation All ye who hear; brothers and sisters draw near Praise Him in glad adoration","Yin oluwa, alagbara, oba gbogbo aye Okan mi yin, oluwosan at'olugbala re Yin Oluwa, l'okunrin at'obirin Fi ayo 'korin iyin Re.",Verse,FALSE
2,PRAISE TO THE LORD THE ALMIGHTY,EYIN OLUWA OLUGBALA,2,2,"Praise to the Lord, who hath prosper thy work and defend thee Surely His goodness and mercy here daily attend thee Ponder a new; what the Almighty can do If with His love He be friend thee","Yin Oluwa t'o bukun wa to si ngbe wa nija Ire at'anu Re wa yi wa ka lojojumo Ronu nipa, ohun t'oluwa yo se At'ife nla t'o ti fewa.",Verse,FALSE
2,PRAISE TO THE LORD THE ALMIGHTY,EYIN OLUWA OLUGBALA,2,3,"Praise to the Lord who when tempest their warfare are waging Who when the elements madly around thee are raging Biddeth them cease, turneth their fury to peace Whirlwinds and waters assuaging.","Yin Oluwa, t'oda gbogbo iji'ponju duro Enit' opa gbogbo awon ota wa l'enu mo Are mu won, nwon ko le ri wagbe se Ato biju l'o ngbeja wa",Verse,FALSE
2,PRAISE TO THE LORD THE ALMIGHTY,EYIN OLUWA OLUGBALA,2,4,"Praise to the Lord who when darkness and sin is abounding Who, when the godless do triumph all virtue confounding Sheddeth his light; chaseth the horrors of night Saints with His mercy surrounding","Mu 'gbala nla Re fun wa Od' aguntan t'a pa, K'oruko awon ayanfe, Mu 'pa re k’o j'oba, Wa, ofe orile ede, Da onde re sile, Wa fi ami 'leri Re han, Wa, Olugbala wa. Amin.",Verse,FALSE
2,PRAISE TO THE LORD THE ALMIGHTY,EYIN OLUWA OLUGBALA,2,5,"Praise to the Lord, O let all that is in me adore Him! All that hath life and breathe come now with praises before Him Let the Amen; sound from His people again Gladly for awe we adore Him","Yin Oluwa, gbogbo ohun t'o wa ninu mi yin Gbogbo eda alaye emu orin iyin wa Eke “Amin”, enyin eniyan mimo Ewa fi ayo juba Re.",Verse,FALSE
3,PRAISE MY SOUL THE KING,OKAN MI YIN OBA ORUN,3,1,"Praise, my soul, the King of heaven To His feet thy tribute bring Ransomed, healed, restored, forgiven, Evermore His praises sing Alleluia! Alleluia!! Praise the everlasting King","Okan mi yin Oba orun Mu ore wa sodo Re 'wo t'awosan, t'a dariji Tal'a ba ha yin bi Re? Yin Oluwa, Yin Oluwa Yin Oba ainipekun",Verse,FALSE
3,PRAISE MY SOUL THE KING,OKAN MI YIN OBA ORUN,3,2,"Praise Him for His grace and favour To our fathers in distress Praise Him, still the same as ever Slow to chide and swift to bless Alleluia! Alleluia!!","Yin fun anu t'o ti fi han F'awon baba n'nu ponju Yin I, okan na ni titi O lora lati binu Yin Oluwa, Yin Oluwa, Ologo n'nu otito.",Verse,FALSE
